"Lake Name","Sampling Year","Latitude","Longitude","Lake Area (ha)","Secchi Depth (m)","Summer Air Temperature (C)","Lake Trout CUE","Total Predator CUE","pLittoral","Total Phosphorus (ugL)","pH","Development Index"
"Atikwa",2010,49.46472,-93.5486,5196.498535,4.5,18.4282608695652,0.546,1.461,0.2421729826,6.3,7.21,9.1789411
"Aylen",2008,45.61333,-77.8486,2104.572266,5.5,17.5304347826087,0.348,0.729,0.12316,3.5,6.93,3.1237425
"Bad Vermilion",2016,48.74,-92.68,1813.1,4.9,18.4597826086957,NA,NA,NA,NA,NA,NA
"Big_Rideaux",2009,44.77083,-76.2128,4583.948242,8.15,18.5173913043478,0.243,2.262,0.431979766,6.1,7.92,6.5202341
"Bluffpoint",2010,49.17472,-93.3767,503.7400818,3.74,18.7858695652174,1.012,1.302,0.335829493,7.5,7.08,4.1070405
"Burntroot",2007,45.8606,-78.6845,1177,3.62,17.9173913043478,NA,NA,NA,NA,NA,3.9638859
"Canoe_K",2011,44.3531,-76.3245,291,NA,21.1086956521739,NA,NA,NA,NA,NA,NA
"Catchacoma",2008,44.75083,-78.32694,708.97,NA,18.0782608695652,NA,NA,NA,NA,NA,NA
"Catfish",2007,45.91667,-78.55,528.9,3.26,17.9597826086957,NA,NA,NA,NA,NA,5.1488434
"Cecil",2009,49.53944,-91.3914,1560.765503,NA,15.045652173913,1.623,1.138,0.1829363,6.6,7.53,1.6999148
"Charleston",2008,44.53611,-76.0119,2642.400879,4,19.745652173913,0.678,1.725,0.2101544204,12.1,7.92,5.1617156
"Cliff",2009,50.17083,-93.3008,2236.313477,3.75,15.2173913043478,0.54,2.614,0.3577067392,9.7,7.54,5.957534
"Confusion",2009,50.67,-94.1511,1462.985718,3.75,15.1891304347826,0.97,0.726,0.3509291,5.2,7.1,5.265962
"Cross",2010,49.96389,-94.2339,108.1861496,4.5,18.1608695652174,1.094,0.48,0.2643336528,6,6.8,2.5997961
"Deer",2018,52.65,-94.18,14676.8,2.9,17.8684782608696,NA,NA,NA,NA,NA,NA
"Delaney",2009,50.09306,-94.0483,1278.123657,5.38,15.5989130434783,0.806,1.78,0.2536758794,7.1,7.06,2.2981488
"Dogpaw",2010,49.37472,-93.9058,1966.936157,3.86,18.7641304347826,0.322,1.458,0.2476806024,7,7.53,3.3018769
"Dryberry",2010,49.52917,-93.8367,10238.58496,7.5,18.5684782608696,0.35,0.551,0.226957438,4.5,6.89,8.9940093
"Eagle",2008,44.67972,-76.7025,641.4,NA,19.1141304347826,NA,NA,NA,NA,NA,NA
"Eagle-1",2016,49.68,-93.07,27691,2.9,18.1967391304348,NA,NA,NA,NA,NA,NA
"Eva",2010,48.71333,-91.1781,1726.177124,5,17.9304347826087,0.346,0.636,0.389715622,20.8,7.66,4.4931638
"Gilmour",2007,46.06667,-78.4833,165,4.7,17.7369565217391,NA,NA,NA,NA,NA,1.2078577
"Hogan",2007,45.86667,-78.5,1283.5,3.2,17.9597826086957,NA,NA,NA,NA,NA,3.8133736
"Kaiashkons",2010,49.05528,-93.3967,2025.220215,6.65,18.8923913043478,0.494,1.522,0.1994601638,5.1,7.12,2.7874746
"Kakagi",2010,49.21472,-93.8372,11061.6709,8.6,18.8097826086957,0.433,1.117,0.1122417178,5.4,7.87,5.8924396
"Katimiagamak",2010,49.12222,-93.7144,1078.848267,5.3,18.6532608695652,0.479,1.367,0.2231312936,5.3,7.32,3.2235552
"Kwinkwaga",2016,48.81,-85.33,811.3,3,16.4989130434783,NA,NA,NA,NA,NA,NA
"Lake_of_Bays",2008,45.25583,-79.0025,6763.313477,4.3,17.6,0.198,1.182,0.1528163,4.5,6.53,5.6816002
"Longlegged",2009,50.78389,-94.1742,6760.294434,3,14.9576086956522,0.257,6.341,0.391033699,10.6,7.18,7.4825556
"Lower_Manitou",2010,49.26472,-92.9683,8871.666016,6.2,18.5271739130435,0.573,1.109,0.1728508834,5.7,7.09,9.7263894
"Mameigwess-1",2016,49.55,-91.82,5309.7,7.6,17.6695652173913,NA,NA,NA,NA,NA,NA
"Midlothian",2008,47.91,-81,367.3,4.6,16.2934782608696,NA,NA,NA,NA,NA,NA
"Muskoka",2008,45.05361,-79.475,8900,NA,18.5815217391304,NA,NA,NA,NA,NA,NA
"Panache",2006,46.25,-81.33,8006.1,6.9,19.1489130434783,NA,NA,NA,NA,NA,NA
"Pickerel",2010,48.62472,-91.4444,5355.734375,3.3,18.3141304347826,0.529,2.441,0.2393315554,9.2,7.14,6.8617711
"Radisson",2014,48.21,-80.76,543.5,4.5,16.420652173913,NA,NA,NA,NA,NA,NA
"Raven",2009,48.05,-79.55,616.7,2.9,15.9173913043478,NA,NA,NA,NA,NA,NA
"Rib",2014,47.22,-79.72,682,5.4,16.4347826086957,NA,NA,NA,NA,NA,NA
"Rosseau",2011,45.17389,-79.585,6297.369141,5.3,19.8891304347826,0.516,1.213,0.153,5.4,6.9,5.1040765
"Shillington",2011,47.77,-80.65,136,3.1,18.3728260869565,NA,NA,NA,NA,NA,NA
"Silver",2010,49.87639,-94.1783,2577.643,5.43,18.1565217391304,0.125,0.462,0.075007,3.2,7.01,2.4818529
"Stormy",2010,49.38972,-92.3075,3432.499512,4.5,18.2684782608696,0.77,0.7,0.210594894,5.6,7.56,4.6873755
"Sturgeon",2016,49.97,-90.77,21412.7,4,16.8391304347826,NA,NA,NA,NA,NA,NA
"Tadpole",2010,49.465,-93.2972,521.8063354,4.5,18.3010869565217,0.801,0.86,0.3359455684,5.5,6.6,3.3379719
"Temagami",2014,47.01,-80.08,20971.7,10.7,16.5271739130435,NA,NA,NA,NA,NA,NA
"Thieving Bear",2010,47.18,-79.83,114.8,4.6,18.5815217391304,NA,NA,NA,NA,NA,NA
"Three_Mile",2007,45.98333,-78.9,415,3.8,17.8804347826087,NA,NA,NA,NA,NA,2.442813154
"Upper_Manitou",2010,49.40694,-92.7953,5310.433105,5.5,18.3782608695652,0.488,2.432,0.1687696248,7.1,7.26,5.56681
"Upper_Medicine_Stone",2009,50.89556,-94.0594,1076.231812,2.35,14.8521739130435,0.213,2.303,0.2152370304,4.2,6.94,3.7234266
"Victoria",2009,49.62306,-91.5489,926.2330933,3.3,15.0760869565217,2.384,0.658,0.403481734,12.6,7.23,3.1060402
"Wapageisi",2010,49.32222,-92.3506,1304.994019,5,18.2586956521739,0.63,0.264,0.373418636,6.2,7.41,2.9206725
"White_Partridge",2007,45.83333,-78.1,584.4,4.84,18.2663043478261,NA,NA,NA,NA,NA,1.6713838
